Lat,Long,Ocean,Cr_nmol/kg,sst_09,sst_10,sst_11,sst_12,Year,sst_01,sst_02,sst_04,sst_05,sst_06,sst_07,sst_08,sst_03,yearly_mean_sst
-16.819,-72.841,Pacific,2.6566666666666667,15.791783,16.259615,18.29537,19.883898,1998,24.096476,23.429827,21.22875,19.68233,17.649313,17.308964,16.496069,,19.102034
-15.999,-76.998,Pacific,3.76,15.76416,16.15857,17.949062,19.952496,1998,23.393574,24.246927,23.628439,21.166182,19.30125,16.958393,15.747881,,19.478811
-14.0,-99.0,Pacific,3.5985996122424173,21.747807,22.178278,22.767187,22.15857,1998,22.762308,24.43073,24.549273,24.168901,23.891016,23.707134,22.870804,,23.202911
-14.0,-77.06,Pacific,5.3475,15.327814,16.620213,17.947187,19.637297,1998,23.48836,23.705141,22.000624,19.800001,19.427032,18.395414,15.545415,,19.263136
-13.666,-76.785,Pacific,2.766666666666667,14.9826565,15.685283,16.78375,18.720665,1998,23.857975,23.133488,21.62625,19.82359,18.78172,17.009426,15.379083,,18.707626
-12.363,-77.0,Pacific,2.1550000000000002,15.4495325,15.927823,16.721111,18.484915,1998,23.904589,23.778297,21.229939,19.664211,18.192293,16.977644,16.150253,,18.770964
-12.0481,-78.3143,Pacific,2.633326026071368,16.248617,16.794407,17.062605,19.479689,1998,24.983809,26.0185,23.305315,21.348085,19.417751,18.303883,17.124043,,20.007881
-12.0471,-77.4325,Pacific,2.342040085557373,15.521453,16.570175,16.79175,18.67838,1998,24.417946,24.126053,22.068563,19.892712,18.202864,17.45867,15.900851,,19.057219
-12.0451,-77.657,Pacific,2.7913146662115818,15.785473,16.65344,17.302656,18.945177,1998,24.236526,24.289806,22.44375,19.891333,18.43778,17.438065,16.3429,,19.251535
-12.0449,-77.3761,Pacific,2.746059475986703,15.3589,16.273603,16.830448,18.527004,1998,24.149548,24.04499,21.330448,19.744703,18.123543,17.202843,15.872104,,18.85983
-12.0448,-78.1669,Pacific,3.607777993342297,16.291563,17.001461,17.183346,19.376162,1998,25.02611,25.666807,22.94594,21.282476,19.244694,17.917994,17.09108,,19.911604
-12.0446,-77.7099,Pacific,2.525425829219805,15.785473,16.65344,17.302656,18.945177,1998,24.236526,24.289806,22.44375,19.891333,18.43778,17.438065,16.3429,,19.251535
-12.01,-79.2,Pacific,3.5559957419451718,16.426798,16.482082,17.778542,20.46535,1998,24.950657,26.380077,24.641565,22.598286,20.706934,18.646921,17.560194,,20.603401
-11.9999,-84.0,Pacific,3.472942293926747,18.562656,18.539062,19.206953,21.003428,1998,25.16741,26.071424,26.02325,25.033117,22.482397,21.673035,19.635517,,22.127113
-10.67,-25.01,Atlantic,2.9176770642337257,24.891302,23.997732,25.430626,25.458899,1998,27.45227,28.12568,27.552252,27.413559,26.579065,25.879082,24.820164,,26.145514
-10.001,-78.38,Pacific,1.9833333333333332,15.785543,16.184124,17.260313,18.714054,1998,25.308268,24.911978,23.131407,21.191938,19.407345,17.602983,16.39854,,19.626955
-9.999,-79.134,Pacific,3.022,16.688698,16.637814,17.797537,19.017641,1998,25.497885,25.442955,23.806877,22.778378,20.334206,18.831133,17.10129,,20.357674
-9.922,-80.224,Pacific,3.42,17.546627,18.871271,19.136251,20.641333,1998,26.411493,26.062803,25.465876,24.506706,22.40177,19.941988,18.345615,,21.75743
-9.0,-85.833,Pacific,4.12,19.612535,19.293598,20.129023,22.48236,1998,25.869526,27.315577,26.938961,25.663155,23.977812,22.71487,21.628883,,23.238756
-8.41,-24.98,Atlantic,2.829815369967665,25.745352,25.907057,25.408876,25.590574,1998,27.645061,28.82631,27.539532,28.430746,27.149689,26.602621,24.950285,,26.708738
-8.0,-79.845,Pacific,2.3633333333333333,16.202969,16.866634,17.458126,18.233032,1998,25.999294,26.835434,24.134909,22.775354,20.462969,19.129522,16.925943,,20.456743
-3.583,-85.833,Pacific,3.9299999999999997,18.840782,20.50159,19.751875,21.399345,1998,27.703932,29.140297,28.115938,27.30237,24.302189,22.034424,20.458746,,23.595589
-2.9625,-25.6148,Atlantic,2.595360888888889,25.874582,26.061495,26.197187,25.476967,1998,26.892944,28.223158,28.58125,27.259932,25.94823,26.157309,25.612501,,26.571411
1.68,-25.01,Atlantic,2.7292743130922723,26.411875,27.619656,26.501562,26.397936,1998,26.410133,28.180414,28.201626,27.392014,26.576174,26.18589,25.603727,,26.86191
2.433333333333334,-102.0,Pacific,4.3,23.383846,23.848682,24.32052,23.371614,1998,28.957613,28.922153,28.595556,28.445013,27.708487,25.614191,25.159931,,26.211601
11.83333333333333,-103.8333333333333,Pacific,3.1154545454545457,27.1137,27.629942,28.03969,27.352169,1998,28.482613,28.399355,28.558126,28.85837,28.92415,28.437109,28.029497,,28.165886
12.0325,-28.9805,Atlantic,2.606471166666667,26.358595,26.974749,26.516327,25.884188,1998,24.568096,23.95963,23.940498,24.63856,25.17943,25.550594,26.33178,,25.445677
12.5882,-17.5724,Atlantic,2.214833875,27.507305,27.983017,28.829374,26.347681,1998,23.227472,22.819204,21.68,23.125858,25.203083,25.698746,26.482029,,25.354889
12.5942,-17.9199,Atlantic,2.5420315555555555,27.52146,27.848742,29.03719,26.970137,1998,24.060335,23.223728,22.020626,23.75625,25.12797,25.867441,26.465626,,25.62723
12.61,-17.7157,Atlantic,2.572664178571429,27.511913,27.894709,28.950314,25.798035,1998,23.714214,22.858215,21.806252,23.338156,25.143023,25.873186,26.485245,,25.39757
12.612,-17.5728,Atlantic,2.18983575,27.507305,27.983017,28.829374,26.347681,1998,23.227472,22.819204,21.68,23.125858,25.203083,25.698746,26.482029,,25.354889
12.74366666666667,-28.5015,Atlantic,2.849897804814339,26.603573,27.25343,26.684063,25.008278,1998,24.111443,23.825447,24.11375,24.761644,24.720549,26.022406,26.080647,,25.380476
12.83333333333333,103.9333333333333,Pacific,15.8,,,,,1998,,,,,,,,,
15.0,-107.0,Pacific,2.8378695652173915,27.565714,28.60101,27.96719,28.216482,1998,28.112602,26.563307,26.33219,26.948439,27.705471,28.042894,27.58703,,27.603851
16.8,-106.9,Pacific,3.496111111111111,27.226887,28.902674,28.175314,27.62374,1998,27.502645,25.201235,26.096016,26.286291,27.536562,28.49622,28.346973,,27.399506
17.27893333333333,-32.15118333333334,Atlantic,2.7914761140638444,25.46978,25.829334,25.788435,24.256754,1998,23.673203,23.25741,23.350939,23.548288,23.791292,24.14948,24.85885,,24.36125
18.2,-104.2,Pacific,3.09375,28.093689,28.77626,27.937813,27.315575,1998,27.721424,25.518599,25.24875,26.108469,27.839165,28.41545,29.164688,,27.467262
18.9,-108.8,Pacific,2.9788888888888887,27.802408,27.769281,26.858751,26.240623,1998,26.762148,24.239342,24.46384,25.17384,27.085155,28.325203,28.726475,,26.677008
20.0,-106.0,Pacific,2.772307692307692,27.753126,28.085989,27.929688,25.70232,1998,26.473793,24.178125,23.95641,25.30373,27.965157,27.999266,29.015373,,26.760271
20.9,-108.0,Pacific,2.9250000000000003,27.944399,28.351967,27.75844,25.844759,1998,25.970264,23.854084,23.903437,25.216179,27.275158,28.5525,28.798616,,26.679075
21.0,-132.0,Pacific,3.9208317958005945,22.814253,22.287868,21.448751,20.216682,1998,20.90729,21.632425,20.814482,21.652843,22.246094,22.072725,22.390512,,21.680357
21.47666666666667,-126.595,Pacific,3.3438615061310726,22.631954,23.143625,20.770315,20.36867,1998,21.06991,20.867691,19.5925,20.671774,20.891253,21.3625,21.82122,,21.199219
23.485,-117.0216666666667,Pacific,3.4616646002789655,23.188936,21.962149,20.437813,18.999496,1998,20.949196,19.810764,19.78875,20.332561,21.092033,22.252083,24.790073,,21.236713
